State,City,County
Arizona,Scottsdale,Maricopa
Arizona,Tucson,Pima
California,Pittsburg,Contra Costa
California,Calexico,Imperial
California,Bakersfield,Kern
California,Hawthorne,Los Angeles
California,Costa Mesa,Orange
California,Rubidoux,Riverside
California,Arden-Arcade,Sacramento
California,Victorville,San Bernardino
California,San Diego,San Diego
California,San Francisco,San Francisco
California,Vandenberg Air Force Base,Santa Barbara
California,Davenport,Santa Cruz
California,Vallejo,Solano
California,Not in a city,Ventura
Colorado,Welby,Adams
District Of Columbia,Washington,District of Columbia
Florida,Winter Park,Orange
Illinois,Calumet City (PU RR name Calumet Park (sta.)),Cook
Indiana,Indianapolis (Remainder),Marion
Kansas,Not in a city,Linn
Kansas,Not in a city,Sumner
Kansas,Kansas City,Wyandotte
Kentucky,Ashland,Boyd
Kentucky,Not in a city,Daviess
Kentucky,Lexington-Fayette (corporate name for Lexington),Fayette
Kentucky,Henderson,Henderson
Kentucky,Louisville,Jefferson
Kentucky,Paducah,McCracken
Louisiana,Baton Rouge,East Baton Rouge
Michigan,Detroit,Wayne
Missouri,St. Ann,Saint Louis
Missouri,St. Louis,St. Louis City
New Jersey,Camden,Camden
New York,New York,Bronx
New York,New York,Queens
New York,Holtsville,Suffolk
North Carolina,Winston-Salem,Forsyth
North Carolina,Charlotte,Mecklenburg
Oklahoma,Park Hill,Cherokee
Oklahoma,Ponca City,Kay
Pennsylvania,Pittsburgh,Allegheny
Pennsylvania,Beaver Falls,Beaver
Pennsylvania,Reading,Berks
Pennsylvania,Altoona,Blair
Pennsylvania,Bristol,Bucks
Pennsylvania,Johnstown,Cambria
Pennsylvania,Scranton,Lackawanna
Pennsylvania,Lancaster,Lancaster
Pennsylvania,New Castle,Lawrence
Pennsylvania,Norristown,Montgomery
Pennsylvania,Freemansburg,Northampton
Pennsylvania,Philadelphia,Philadelphia
Pennsylvania,Charleroi,Washington
Pennsylvania,Greensburg,Westmoreland
Pennsylvania,York,York
Texas,Dallas,Dallas
Texas,El Paso,El Paso
Texas,Houston,Harris
Virginia,McLean,Fairfax
Virginia,Alexandria,Alexandria City
California,Oakland,Alameda
Illinois,East Saint Louis,Saint Clair
Massachusetts,Boston,Suffolk
Missouri,Breckenridge Hills,Saint Louis
Nevada,Boulder City,Clark
New Jersey,Newark,Essex
Oklahoma,Miami,Ottawa
Michigan,Grand Rapids,Kent
New Hampshire,Manchester,Hillsborough
Tennessee,Not in a city,Haywood
Tennessee,Not in a city,Meigs
California,Fresno,Fresno
Illinois,Cicero,Cook
South Carolina,Not in a city,Charleston
California,Los Angeles,Los Angeles
Arizona,Phoenix,Maricopa
Colorado,Denver,Denver
Louisiana,Kenner,Jefferson
Missouri,Sunset Hills,Saint Louis
Pennsylvania,Erie,Erie
California,Eureka,Humboldt
Connecticut,New Haven,New Haven
Iowa,Davenport,Scott
Maine,Presque Isle,Aroostook
Maryland,Essex,Baltimore
Oklahoma,Tulsa,Tulsa
Pennsylvania,Not in a city,Dauphin
Pennsylvania,Wilkes-Barre,Luzerne
Wisconsin,Milwaukee,Milwaukee
Country Of Mexico,Mexicali,BAJA CALIFORNIA NORTE
Arkansas,North Little Rock,Pulaski
California,Berkeley,Alameda
California,Benicia,Solano
Connecticut,Westport,Fairfield
Connecticut,East Hartford,Hartford
Florida,Valrico,Hillsborough
Illinois,Northbrook,Cook
Iowa,Des Moines,Polk
Maryland,Beltsville,Prince George's
Oregon,Portland,Multnomah
Pennsylvania,Not in a city,Berks
Texas,Waco,McLennan
Wyoming,Not in a city,Uinta
California,Fontana,San Bernardino
Maine,Portland,Cumberland
New York,Not in a city,Steuben
North Dakota,Not in a city,Cass
Oklahoma,Cherry Tree,Adair
Tennessee,Not in a city,Blount
Texas,Not in a city,Bexar
California,San Pablo,Contra Costa
California,San Jose,Santa Clara
Idaho,Not in a city,Ada
Ohio,Athens,Athens
Ohio,Not in a city,Medina
California,Cupertino,Santa Clara
Connecticut,Cornwall,Litchfield
Georgia,Not in a city,DeKalb
Nevada,Reno,Washoe
Texas,Deer Park,Harris
Virginia,East Highland Park,Henrico
Virginia,Hampton,Hampton City
California,Not in a city,Humboldt
Delaware,Wilmington,New Castle
Hawaii,Not in a city,Honolulu
Minnesota,Blaine,Anoka
New Mexico,Albuquerque,Bernalillo
New York,Rochester,Monroe
Ohio,Cleveland,Cuyahoga
Ohio,Cincinnati,Hamilton
Oklahoma,Oklahoma City,Oklahoma
Rhode Island,East Providence,Providence
South Dakota,Sioux Falls,Minnehaha
Utah,Salt Lake City,Salt Lake
Wyoming,Not in a city,Laramie
Wyoming,Not in a city,Sweetwater
California,El Cajon,San Diego
Colorado,Not in a city,Jackson
Texas,Austin,Travis
Utah,Roosevelt,Duchesne
Utah,Not in a city,Uintah
Virginia,Not in a city,Alexandria City
Alabama,Birmingham,Jefferson
South Dakota,Not in a city,Union
Virginia,Vinton,Roanoke
Washington,Seattle,King
Alaska,Fairbanks,Fairbanks North Star 
Colorado,Not in a city,Denver
Maryland,Grantsville,Garrett
New Hampshire,Not in a city,Rockingham
North Carolina,Raleigh,Wake
Pennsylvania,Not in a city,Adams
Wyoming,Riverton,Fremont
South Carolina,Dentsville (Dents),Richland
